"service_id","date","exception_type"
"GO201_1613","20160901","1"
"GO201_1613","20160902","1"
"GO201_1614","20160524","1"
"GO201_1614","20160525","1"
"GO201_1614","20160526","1"
"GO201_1614","20160527","1"
"GO201_1614","20160601","1"
"GO201_1614","20160602","1"
"GO201_1614","20160603","1"
"GO201_1614","20160607","1"
"GO201_1614","20160608","1"
"GO201_1614","20160609","1"
"GO201_1614","20160610","1"
"GO201_1614","20160614","1"
"GO201_1614","20160615","1"
"GO201_1614","20160616","1"
"GO201_1614","20160617","1"
"GO201_1614","20160621","1"
"GO201_1614","20160622","1"
"GO201_1614","20160623","1"
"GO201_1614","20160624","1"
"GO201_1614","20160628","1"
"GO201_1614","20160629","1"
"GO201_1614","20160630","1"
"GO201_1614","20160701","1"
"GO201_1614","20160706","1"
"GO201_1614","20160707","1"
"GO201_1614","20160708","1"
"GO201_1614","20160712","1"
"GO201_1614","20160713","1"
"GO201_1614","20160714","1"
"GO201_1614","20160715","1"
"GO201_1614","20160719","1"
"GO201_1614","20160720","1"
"GO201_1614","20160721","1"
"GO201_1614","20160722","1"
"GO201_1614","20160726","1"
"GO201_1614","20160727","1"
"GO201_1614","20160728","1"
"GO201_1614","20160729","1"
"GO201_1614","20160802","1"
"GO201_1614","20160803","1"
"GO201_1614","20160804","1"
"GO201_1614","20160805","1"
"GO201_1614","20160809","1"
"GO201_1614","20160810","1"
"GO201_1614","20160811","1"
"GO201_1614","20160812","1"
"GO201_1614","20160816","1"
"GO201_1614","20160817","1"
"GO201_1614","20160818","1"
"GO201_1614","20160819","1"
"GO201_1614","20160823","1"
"GO201_1614","20160824","1"
"GO201_1614","20160825","1"
"GO201_1614","20160826","1"
"GO201_1614","20160830","1"
"GO201_1614","20160831","1"
"GO201_1614","20160901","1"
"GO201_1614","20160902","1"
"GO201_1615","20160526","1"
"GO201_1615","20160602","1"
"GO201_1615","20160609","1"
"GO201_1615","20160616","1"
"GO201_1615","20160623","1"
"GO201_1615","20160630","1"
"GO201_1615","20160707","1"
"GO201_1615","20160714","1"
"GO201_1615","20160721","1"
"GO201_1615","20160728","1"
"GO201_1615","20160804","1"
"GO201_1615","20160811","1"
"GO201_1615","20160818","1"
"GO201_1615","20160825","1"
"GO201_1615","20160901","1"
"GO201_1616","20160523","1"
"GO201_1616","20160524","1"
"GO201_1616","20160525","1"
"GO201_1616","20160526","1"
"GO201_1616","20160531","1"
"GO201_1616","20160601","1"
"GO201_1616","20160602","1"
"GO201_1616","20160603","1"
"GO201_1616","20160606","1"
"GO201_1616","20160607","1"
"GO201_1616","20160608","1"
"GO201_1616","20160609","1"
"GO201_1616","20160610","1"
"GO201_1616","20160613","1"
"GO201_1616","20160614","1"
"GO201_1616","20160615","1"
"GO201_1616","20160616","1"
"GO201_1616","20160617","1"
"GO201_1616","20160620","1"
"GO201_1616","20160621","1"
"GO201_1616","20160622","1"
"GO201_1616","20160623","1"
"GO201_1616","20160624","1"
"GO201_1616","20160627","1"
"GO201_1616","20160628","1"
"GO201_1616","20160629","1"
"GO201_1616","20160630","1"
"GO201_1616","20160705","1"
"GO201_1616","20160706","1"
"GO201_1616","20160707","1"
"GO201_1616","20160708","1"
"GO201_1616","20160711","1"
"GO201_1616","20160712","1"
"GO201_1616","20160713","1"
"GO201_1616","20160714","1"
"GO201_1616","20160715","1"
"GO201_1616","20160718","1"
"GO201_1616","20160719","1"
"GO201_1616","20160720","1"
"GO201_1616","20160721","1"
"GO201_1616","20160722","1"
"GO201_1616","20160725","1"
"GO201_1616","20160726","1"
"GO201_1616","20160727","1"
"GO201_1616","20160728","1"
"GO201_1616","20160729","1"
"GO201_1616","20160801","1"
"GO201_1616","20160802","1"
"GO201_1616","20160803","1"
"GO201_1616","20160804","1"
"GO201_1616","20160805","1"
"GO201_1616","20160808","1"
"GO201_1616","20160809","1"
"GO201_1616","20160810","1"
"GO201_1616","20160811","1"
"GO201_1616","20160812","1"
"GO201_1616","20160815","1"
"GO201_1616","20160816","1"
"GO201_1616","20160817","1"
"GO201_1616","20160818","1"
"GO201_1616","20160819","1"
"GO201_1616","20160822","1"
"GO201_1616","20160823","1"
"GO201_1616","20160824","1"
"GO201_1616","20160825","1"
"GO201_1616","20160826","1"
"GO201_1616","20160829","1"
"GO201_1616","20160830","1"
"GO201_1616","20160831","1"
"GO201_1616","20160901","1"
"GO201_1617","20160523","1"
"GO201_1617","20160524","1"
"GO201_1617","20160525","1"
"GO201_1617","20160526","1"
"GO201_1617","20160531","1"
